Customer_ID,Purchase_Frequency,Total_Spending,Product_Rating
3,21,43,36
81,20,15,8
89,54,59,95
36,43,37,47
52,35,57,67
12,98,18,56
52,65,70,13
52,29,3,88
51,48,85,46
29,95,6,94
32,39,73,88
45,37,63,35
73,59,20,35
94,27,60,14
73,54,68,79
59,6,87,92
39,25,72,76
69,37,17,63
68,4,16,3
12,51,34,11
17,70,59,7
25,91,55,58
96,82,84,26
74,86,55,2
85,47,84,9
80,49,98,60
17,38,44,3
31,98,8,32
96,17,63,33
50,68,82,58
73,64,15,55
84,18,13,66
30,85,76,45
99,56,22,10
31,56,71,38
27,2,52,7
15,3,68,22
53,66,58,32
32,23,69,71
26,97,75,28
35,20,92,67
66,94,65,16
17,4,18,98
80,72,57,99
93,58,59,75
30,64,13,63
81,55,15,25
1,52,40,23
31,56,54,34
71,81,96,26
18,44,24,80
13,89,19,1
3,83,76,38
18,48,16,20
8,82,70,69
77,83,6,87
7,64,86,96
37,69,27,51
26,98,84,4
75,26,60,87
51,50,19,6
43,53,40,20
79,4,43,7
37,21,47,51
19,24,6,47
85,60,90,27
27,52,65,75
31,30,70,47
24,1,25,94
58,10,17,84
18,75,6,69
11,78,86,65
64,99,78,24
87,94,66,19
53,56,49,22
88,53,99,32
55,20,54,83
16,15,21,13
42,83,40,62
21,28,35,94
62,52,61,80
39,68,29,34
32,58,31,45
50,64,99,87
43,78,10,63
77,9,3,69
32,24,71,35
29,11,22,91
96,37,67,88
25,50,41,30
15,58,57,37
8,87,61,76
3,43,43,21
78,78,63,65
31,23,99,79
7,23,69,24
41,60,22,35
95,86,3,64
92,8,84,60
69,85,75,67
54,60,60,24
16,75,56,37
49,21,82,51
26,39,24,23
19,60,96,68
3,21,80,91
8,78,27,89
77,32,84,64
62,57,60,40
34,31,34,71
83,40,5,56
80,85,1,23
90,26,35,70
31,87,14,81
1,97,61,73
89,76,50,27
9,48,69,39
88,94,72,18
93,65,85,95
43,97,47,67
47,51,10,1
47,93,57,9
82,19,76,67
10,20,73,18
15,10,94,34
16,72,43,16
48,57,29,67
1,73,94,97
79,23,11,43
61,85,52,82
89,75,68,86
64,79,17,74
71,93,43,20
56,47,15,16
66,49,63,63
44,49,18,74
51,11,42,36
26,24,56,61
65,61,61,99
