Student_ID,Test_Score,Attendance,Grade_Level
12,46,18,94
32,31,73,13
34,51,57,32
15,40,34,85
86,11,34,9
80,48,64,80
43,70,70,17
62,37,41,63
18,90,62,2
33,94,30,62
31,58,40,35
20,34,27,86
45,52,83,24
96,1,2,66
69,74,6,88
20,58,90,10
31,36,66,74
65,28,57,58
6,80,54,60
96,73,37,31
22,79,70,34
90,73,63,89
27,65,9,62
1,82,57,31
86,12,77,3
90,90,82,79
89,34,96,28
88,95,94,66
29,71,96,5
34,43,83,85
21,46,24,64
71,15,2,34
37,69,37,42
45,25,88,48
55,4,56,46
31,19,46,14
17,77,31,64
60,85,36,53
46,46,75,37
17,20,34,82
56,76,72,55
49,57,66,29
22,87,33,61
4,39,4,44
26,46,54,19
11,7,80,3
93,1,80,69
47,60,7,21
43,29,93,83
64,84,71,67
34,19,48,62
49,21,27,19
91,87,83,85
39,16,30,12
26,32,62,59
82,38,93,73
6,12,15,71
75,78,98,57
97,26,60,58
48,58,13,47
86,77,92,63
23,49,93,30
24,22,48,10
24,45,29,28
72,18,78,70
53,26,73,72
38,42,77,85
45,37,45,20
50,48,85,20
71,62,61,58
31,22,59,48
76,24,53,43
2,16,8,3
79,67,26,63
35,82,62,14
81,77,54,35
22,30,36,19
48,87,27,51
90,29,96,35
63,69,18,60
68,91,48,33
95,76,12,78
90,29,69,2
88,92,85,50
87,3,28,75
20,65,26,74
63,52,50,68
54,29,5,27
79,9,49,53
86,58,54,47
84,57,82,30
40,7,3,57
3,25,7,76
19,94,23,50
41,44,42,77
85,15,25,53
91,43,67,27
78,24,56,80
85,88,20,71
12,39,20,21
71,9,19,59
51,21,98,14
25,20,96,93
32,29,23,93
12,41,22,76
89,5,19,93
47,37,36,23
77,3,37,12
7,35,60,57
2,82,21,63
64,88,93,57
24,40,32,64
17,54,72,93
19,2,6,27
43,93,62,63
40,72,56,57
36,65,14,50
61,48,63,33
27,45,70,28
55,20,51,17
89,58,11,28
81,11,60,78
12,13,17,31
62,32,22,21
42,87,91,64
66,36,24,65
77,29,7,32
21,66,81,69
84,16,51,56
23,79,37,4
82,21,96,87
70,69,71,71
77,27,77,78
63,54,91,72
33,86,93,14
86,37,47,12
1,66,48,88
19,9,76,36
42,74,84,92
