Employee_ID,Job_Satisfaction,Work_Life_Balance,Salary_Satisfaction
9,42,92,63
29,22,26,38
84,31,47,99
47,25,21,12
58,20,62,53
38,57,83,39
19,18,23,48
35,75,90,65
34,88,3,47
67,94,82,87
39,32,58,45
29,37,4,36
35,85,74,37
19,92,86,47
67,28,46,42
57,83,93,99
45,51,92,49
8,23,60,93
85,86,87,27
65,59,27,1
71,78,93,82
57,11,98,35
22,79,91,42
55,70,65,7
66,8,51,44
77,43,62,90
80,97,77,85
79,36,19,96
42,35,63,70
28,72,19,49
42,26,76,50
44,78,20,66
76,95,37,23
17,97,45,2
50,86,63,65
91,43,64,92
15,24,70,90
31,29,21,73
83,63,88,68
63,41,28,36
64,48,28,61
80,49,24,64
87,9,17,37
81,12,13,43
91,97,93,39
98,21,97,13
16,63,87,96
75,48,49,75
26,15,75,59
24,23,8,4
1,97,85,24
30,76,94,47
64,32,77,52
14,11,25,1
90,24,3,76
36,26,9,20
76,43,29,39
26,36,50,2
5,46,85,19
11,95,26,86
41,76,17,98
85,56,4,94
44,55,38,18
57,40,30,17
18,58,19,81
82,1,80,26
69,6,85,89
89,15,42,26
52,60,88,91
24,2,28,42
33,44,73,99
60,58,60,94
5,9,3,46
23,16,7,5
91,63,17,72
13,53,38,15
28,82,61,78
3,70,69,55
91,89,18,60
93,82,87,96
26,68,27,85
21,14,50,77
16,98,74,21
32,63,16,91
70,40,38,5
36,62,24,93
29,94,18,15
71,66,46,12
29,85,4,94
92,18,95,53
93,91,4,8
89,48,9,74
63,47,16,75
46,57,23,47
65,41,55,37
9,75,34,92
91,97,45,30
27,9,83,29
19,1,84,82
19,16,78,76
41,20,50,90
87,63,71,59
76,11,37,31
59,8,61,91
42,62,72,94
27,75,15,74
9,75,45,80
40,30,51,60
28,60,27,46
13,97,34,31
6,53,27,67
46,92,77,24
91,31,39,63
54,1,4,95
45,91,19,73
20,28,39,73
85,97,62,69
70,78,28,88
82,83,72,59
73,32,3,64
40,46,35,19
36,19,20,78
59,17,13,8
5,49,93,94
23,28,91,58
73,46,4,86
77,96,63,80
7,70,81,36
79,22,43,63
92,9,3,28
32,16,32,21
8,46,37,87
17,79,21,79
59,55,31,70
35,23,1,42
23,52,25,81
16,67,55,8
29,79,36,54
24,1,41,1
