Employee_ID,Training_Satisfaction,Skill_Improvement,Career_Growth
81,71,61,73
12,47,19,39
50,96,35,83
48,66,51,52
79,50,60,78
44,73,3,36
88,14,39,96
37,74,88,63
32,76,13,33
11,19,18,88
81,51,35,39
30,1,38,42
94,35,39,77
25,40,96,30
30,55,85,24
17,70,64,15
13,21,76,5
89,7,84,85
18,48,21,32
95,83,58,70
84,90,39,42
92,98,6,66
59,2,43,2
8,97,95,15
38,57,40,32
31,48,27,73
19,93,55,28
52,21,11,88
66,38,91,23
64,65,65,10
48,33,99,61
40,27,90,38
45,81,99,87
87,51,41,88
90,30,99,39
98,4,65,60
12,57,80,42
93,52,92,70
34,45,89,18
34,64,49,70
29,11,45,69
86,43,13,69
42,63,68,56
60,89,93,3
94,71,31,93
92,16,82,81
8,33,61,48
81,93,25,9
47,70,59,4
79,28,75,61
62,67,32,5
55,6,56,42
3,17,61,24
35,43,6,26
32,41,77,61
44,42,25,37
20,83,55,9
25,86,93,97
42,98,28,26
83,8,74,80
8,33,30,44
75,9,14,86
62,32,90,87
56,61,55,48
68,93,32,16
48,48,16,98
22,3,85,5
80,28,37,37
4,55,29,87
26,26,60,82
2,49,83,50
35,43,4,92
81,40,85,57
61,70,26,56
1,9,98,78
45,79,16,37
5,49,96,58
75,84,24,22
17,55,10,39
9,40,89,73
38,61,96,78
97,68,37,4
52,44,81,50
73,87,15,47
35,1,3,26
76,42,96,7
99,65,74,99
76,40,70,74
24,63,28,76
55,16,22,35
91,27,53,70
21,23,20,51
98,79,46,53
26,33,20,94
68,87,23,78
64,8,19,1
23,91,53,8
79,55,71,64
31,68,42,84
65,92,36,85
9,4,99,50
52,20,77,9
36,27,2,86
83,97,57,49
55,90,58,39
73,63,49,56
67,30,43,18
70,88,77,31
37,51,9,32
49,78,84,9
34,60,14,40
94,56,32,82
72,33,75,79
92,47,35,27
63,32,3,19
3,95,60,80
98,47,96,27
59,51,92,54
60,57,27,98
79,64,79,47
10,30,2,49
84,52,12,20
47,95,10,57
59,87,38,94
21,40,44,4
21,8,56,95
89,71,18,81
99,83,68,6
46,64,1,66
34,54,44,79
13,4,28,55
82,83,95,43
78,56,90,73
58,12,20,1
15,69,89,18
52,44,57,17
72,24,51,59
94,17,77,97
9,81,1,25
