Respondent_ID,Preference_Score,Brand_Awareness,Purchase_Intent
7,19,49,2
68,99,45,48
29,39,18,59
89,12,78,17
85,75,40,99
84,66,65,21
17,59,60,52
69,81,79,31
76,76,57,56
42,14,51,44
66,43,3,41
72,51,88,32
5,85,41,54
27,72,70,40
3,29,56,29
61,37,90,32
56,56,72,64
75,89,73,45
79,80,11,17
2,71,19,62
31,12,79,9
64,39,73,6
61,92,76,31
55,44,9,20
31,80,47,48
54,30,40,5
51,23,66,95
85,96,54,95
1,63,4,24
71,70,16,45
92,44,43,6
46,92,67,36
55,20,45,18
19,33,76,33
63,52,75,16
27,69,84,59
61,80,78,14
66,75,80,6
27,83,48,41
39,20,24,69
56,70,37,97
24,47,3,38
34,76,35,10
14,75,64,31
5,8,89,72
76,16,98,15
64,40,77,39
25,12,81,60
19,70,21,10
23,23,44,56
58,92,57,40
6,41,11,72
40,43,79,59
23,96,33,69
52,38,81,10
16,88,87,84
13,51,20,59
81,24,99,95
91,86,23,49
66,20,49,29
1,51,50,17
72,38,17,81
54,89,77,76
74,32,16,50
48,74,59,60
54,75,50,22
71,42,28,23
95,98,53,19
61,84,41,97
54,72,12,11
47,79,40,89
72,10,71,66
16,93,35,20
11,59,27,97
42,50,91,4
78,8,82,33
77,24,79,97
15,19,70,99
68,35,48,86
64,60,22,49
32,46,87,10
11,9,58,90
95,28,89,32
78,71,84,40
61,88,70,80
81,64,49,11
14,84,31,84
38,95,5,92
15,35,5,65
21,86,99,73
31,99,51,50
16,87,37,28
20,84,22,11
5,39,53,96
92,11,63,69
66,23,17,46
92,70,32,94
58,91,17,87
94,48,86,68
36,24,79,91
94,97,80,95
5,79,34,33
37,70,17,84
96,97,55,95
50,47,87,60
40,89,19,5
94,2,92,73
56,95,27,83
23,24,90,6
19,12,81,55
51,94,10,53
39,52,7,8
83,24,26,69
40,92,99,59
29,33,29,67
83,52,61,49
8,96,97,3
85,4,49,96
18,60,35,51
90,56,48,20
52,51,45,62
86,72,58,75
15,1,84,7
66,72,12,12
40,77,19,83
99,52,59,32
13,92,38,68
9,19,80,77
53,51,6,5
56,89,19,61
70,78,46,87
53,71,18,76
89,8,42,15
50,83,60,72
67,71,72,42
42,41,63,77
28,27,88,30
5,77,61,13
43,50,6,59
