Product_ID,Usage_Frequency,Feature_Utilization,Satisfaction_Rating
5,66,86,22
90,88,60,27
76,78,12,6
62,39,67,29
11,55,68,88
40,5,52,98
23,49,84,45
65,2,15,26
94,17,81,61
23,91,51,51
21,42,83,49
74,88,66,2
58,83,6,76
71,43,6,68
84,26,25,40
28,1,10,49
75,37,84,97
5,87,80,77
62,53,96,38
27,9,7,44
49,53,92,4
38,3,86,21
68,54,48,79
48,32,15,43
15,20,10,77
60,76,55,87
24,74,79,83
13,93,67,14
39,49,40,41
81,61,35,25
35,43,27,81
21,63,74,44
11,50,85,33
73,10,46,79
84,26,88,93
61,92,21,60
5,18,38,53
99,36,56,68
44,5,97,84
89,11,67,7
77,87,72,39
46,30,50,28
12,42,51,83
39,80,27,21
98,80,60,62
57,53,17,72
16,87,62,53
77,87,29,48
34,6,58,67
86,61,62,1
93,14,65,25
51,28,75,14
29,36,73,72
90,6,6,3
13,38,34,74
51,83,26,44
11,85,59,95
67,63,89,92
53,14,66,11
82,77,45,85
58,17,7,28
43,28,30,91
69,14,5,50
60,98,86,28
52,57,64,86
86,43,42,92
68,6,20,64
98,11,50,54
71,69,69,95
34,15,75,84
20,79,41,97
10,25,1,22
58,74,87,93
57,31,10,64
9,70,25,55
45,15,25,16
17,69,80,30
77,28,25,21
91,34,34,66
85,63,38,7
21,11,95,93
41,9,10,69
6,69,29,28
50,46,92,49
17,40,34,6
14,48,73,55
68,40,81,14
70,79,3,78
49,84,26,43
80,1,1,58
10,52,33,24
61,58,86,85
87,36,69,92
61,19,32,1
99,15,29,95
6,76,13,70
29,29,77,37
11,78,91,12
67,82,34,67
24,62,37,82
98,72,17,6
83,61,91,21
29,11,17,31
36,31,94,69
53,40,86,75
84,48,69,27
8,12,16,2
21,96,83,3
21,83,45,74
14,49,15,98
57,71,92,9
36,78,24,65
46,83,4,20
58,52,6,81
59,30,11,72
75,48,18,21
83,7,71,69
82,99,11,11
10,31,26,72
22,58,87,94
17,70,47,70
88,25,16,13
72,45,13,67
44,77,45,49
42,13,13,94
41,12,64,27
59,98,85,47
48,78,2,28
10,43,91,9
82,94,65,90
76,76,51,25
43,38,78,62
70,1,13,92
23,53,5,7
54,31,66,94
31,92,9,49
31,47,10,57
83,13,39,95
18,76,9,46
