Post_ID,Likes,Comments,Shares
45,85,38,25
62,19,20,99
58,64,81,29
6,80,52,64
2,22,80,15
18,90,9,38
92,18,1,7
63,1,85,58
9,58,25,52
81,60,22,52
44,33,67,24
71,13,7,66
92,69,72,74
5,46,52,28
60,79,74,85
76,40,24,58
19,4,61,54
41,25,40,68
92,59,37,51
76,29,33,66
64,54,57,61
46,50,15,82
5,71,4,31
84,81,35,12
75,62,98,30
77,99,72,84
83,33,7,35
30,39,46,31
80,42,50,88
9,79,40,5
54,35,8,28
58,10,33,40
70,37,65,64
86,80,51,21
5,78,39,49
14,11,79,2
69,67,99,7
94,54,6,82
24,84,24,61
85,77,92,66
13,9,58,73
25,65,69,80
75,48,6,87
50,30,84,68
80,57,6,88
16,10,9,35
48,13,7,61
13,76,39,1
26,50,91,50
82,72,35,60
94,82,98,57
85,11,13,57
55,86,58,29
49,18,78,49
26,44,42,28
42,84,43,30
13,11,77,15
60,80,39,63
96,71,27,54
1,61,82,96
27,19,92,31
10,37,24,92
7,61,51,61
1,62,29,26
30,77,25,65
30,92,52,29
31,3,3,31
27,60,18,98
25,88,40,62
46,3,96,8
80,13,88,95
28,93,44,67
67,3,75,89
20,47,29,35
43,34,18,39
43,99,61,84
72,5,43,7
82,88,30,29
48,21,59,93
91,60,58,33
89,88,76,84
2,11,60,71
49,96,99,38
43,40,90,67
12,63,13,15
67,31,89,15
67,52,10,56
33,89,65,4
1,31,38,91
4,55,39,82
91,47,37,75
77,84,48,31
21,18,29,89
19,53,13,43
35,11,35,51
97,33,73,87
24,53,75,84
6,59,13,86
41,88,20,88
65,22,70,14
68,14,18,39
44,86,38,8
12,53,63,93
93,16,8,58
37,34,84,76
13,50,49,55
67,54,40,44
80,20,88,20
66,10,97,47
22,96,65,64
9,33,1,8
52,13,90,26
93,21,40,15
8,69,34,48
16,45,96,83
31,71,1,11
3,94,58,46
47,3,13,76
81,5,5,64
28,32,47,48
1,38,43,63
76,31,2,7
57,7,30,97
7,71,33,76
36,86,44,31
70,53,44,87
56,72,79,85
88,48,63,73
67,62,71,24
40,20,3,51
86,9,44,19
94,94,28,73
80,89,74,47
61,55,51,73
3,21,99,80
72,37,15,6
90,78,83,65
61,95,90,24
49,75,42,46
