Date,Temperature,Humidity,Precipitation
10,45,58,56
60,72,55,85
12,17,66,92
81,63,16,87
73,60,35,90
63,11,29,71
16,48,67,47
82,95,92,28
10,11,48,76
86,54,72,96
79,88,26,41
59,83,93,16
57,93,18,58
33,14,66,13
13,13,72,72
69,30,50,61
4,19,35,66
61,39,43,75
19,8,17,44
74,22,4,96
96,53,53,96
60,14,5,5
28,48,89,28
61,38,37,58
82,53,53,20
97,92,3,57
46,29,70,26
69,78,58,48
97,55,75,21
39,26,57,16
5,16,7,51
12,5,86,67
8,45,2,52
47,52,9,74
78,42,32,10
27,6,81,40
28,76,29,13
2,25,65,98
72,7,16,51
91,88,67,54
54,49,24,6
7,3,80,98
22,15,6,21
74,91,94,63
66,56,42,40
92,39,45,71
6,73,17,66
27,13,63,88
67,4,52,63
43,47,82,80
48,98,55,93
91,37,65,88
46,77,12,9
41,95,72,96
94,77,59,69
28,10,77,48
56,75,90,90
22,75,88,51
97,49,58,80
68,74,42,12
59,48,1,8
25,46,18,72
7,89,20,11
81,43,77,78
41,42,52,39
1,9,86,84
60,24,59,16
5,38,32,55
43,11,83,5
34,85,63,80
44,88,36,20
46,11,45,32
59,63,45,82
56,32,96,84
25,29,12,41
51,7,81,86
90,5,71,74
48,48,4,89
21,9,29,58
34,39,75,11
47,6,43,82
8,25,56,57
19,56,89,45
85,35,35,3
28,80,29,71
8,51,14,23
76,45,48,41
30,96,95,13
59,76,61,53
82,38,45,53
52,77,35,60
74,43,9,51
40,71,70,83
14,54,75,90
55,76,1,43
15,49,19,8
39,92,1,59
97,17,8,62
50,77,83,6
49,99,47,77
3,62,87,61
29,18,72,93
96,11,57,52
3,52,8,73
76,43,84,79
51,7,19,75
41,12,19,41
11,26,34,29
87,79,6,2
6,60,28,14
18,58,24,91
46,25,96,31
67,41,13,82
90,87,34,68
43,56,17,57
56,96,10,96
13,21,64,97
89,89,64,80
19,36,42,69
77,34,96,64
82,34,19,48
10,45,16,38
68,93,72,86
5,88,69,93
16,8,24,36
54,83,71,12
4,16,12,74
54,17,85,56
21,5,53,66
57,8,30,70
79,77,93,88
78,23,57,40
5,91,32,70
33,55,38,69
43,27,87,92
91,96,90,93
82,73,96,53
9,64,92,75
96,58,35,91
