Student_ID,Test_Score,Attendance,Grade_Level
18,55,38,25
29,75,54,62
47,76,96,78
67,76,13,13
66,57,44,20
18,70,89,19
53,74,63,87
50,25,89,84
61,15,23,26
96,75,78,56
9,94,67,21
85,28,23,76
45,69,39,74
51,69,8,68
3,79,93,70
43,26,83,73
46,4,56,61
90,16,28,63
12,32,66,35
87,75,93,2
55,94,47,48
33,72,79,59
55,42,46,82
25,46,52,55
26,21,69,74
73,10,76,45
91,58,37,55
39,90,90,20
59,17,14,59
43,9,62,74
28,42,98,74
71,78,71,98
30,55,63,64
27,20,64,78
94,21,45,72
9,85,57,83
62,82,13,11
14,94,64,14
72,14,36,34
55,46,13,58
99,91,96,36
47,52,15,56
91,67,84,12
12,96,83,19
6,40,51,90
34,19,67,19
10,1,97,95
94,5,1,51
26,3,74,2
89,10,9,73
83,65,56,29
1,7,34,59
13,8,76,67
1,92,66,58
54,52,36,45
33,62,74,43
91,6,11,91
99,45,61,98
22,8,31,99
69,94,64,3
34,30,32,30
2,56,31,57
80,96,60,93
40,51,57,8
5,23,96,43
6,41,21,49
10,28,25,17
76,39,46,48
68,87,13,87
66,47,99,7
43,51,92,10
61,68,82,58
21,22,44,30
82,58,61,14
60,26,99,61
52,12,82,31
32,52,65,78
5,88,33,96
52,49,57,23
17,63,56,45
56,39,3,15
18,46,84,68
1,92,46,21
39,93,20,56
