Employee_ID,Job_Satisfaction,Work_Life_Balance,Salary_Satisfaction
45,42,53,56
11,70,28,33
99,80,8,36
55,17,30,52
3,98,30,88
21,70,73,37
42,77,43,68
77,35,30,95
42,93,55,19
35,12,60,24
42,7,15,30
49,70,75,75
38,13,48,23
74,59,92,80
4,90,96,79
3,90,27,49
98,50,56,86
26,71,35,70
86,51,17,72
80,92,48,7
39,25,52,89
9,19,32,60
5,20,30,1
17,65,49,71
61,43,1,77
56,52,93,44
22,84,10,95
3,66,28,99
56,55,43,29
16,96,46,72
74,29,61,48
85,86,71,33
36,76,6,7
35,9,84,24
91,67,63,45
8,50,66,60
5,82,47,49
39,4,25,92
23,66,65,86
84,30,49,17
20,15,44,56
42,46,65,57
83,58,32,37
96,21,98,46
87,58,59,69
81,89,81,29
84,57,92,21
73,53,91,62
57,67,16,77
57,11,19,33
72,78,52,78
15,45,62,62
7,87,71,78
15,43,81,71
6,85,37,5
44,27,90,72
10,88,58,14
28,95,2,26
81,48,26,92
8,74,57,53
13,75,40,90
18,38,4,29
65,27,77,75
80,84,38,16
53,48,97,60
36,98,96,23
47,63,62,48
24,42,2,6
89,65,9,32
36,24,36,92
25,29,87,49
3,58,32,80
41,42,31,51
80,39,8,7
57,73,92,18
82,93,79,56
57,95,61,63
86,12,8,47
71,44,1,77
92,86,65,89
92,34,53,82
77,8,66,86
70,81,56,42
47,90,79,50
