Employee_ID,Training_Satisfaction,Skill_Improvement,Career_Growth
83,98,83,70
48,24,83,27
72,82,87,10
31,96,20,64
79,57,42,14
60,2,24,91
61,90,39,81
49,50,79,49
68,90,75,2
64,77,84,79
51,47,19,98
42,35,8,1
59,10,98,3
23,84,95,44
18,1,42,23
26,73,69,2
88,12,97,46
84,53,9,55
68,45,75,1
88,11,56,93
10,20,57,65
55,26,7,94
94,9,31,52
21,41,64,52
95,34,40,44
72,4,39,22
31,48,80,3
95,58,31,11
46,99,97,11
28,5,9,29
67,43,80,60
35,17,46,49
94,51,7,50
60,2,22,32
21,19,6,67
13,58,90,95
64,25,13,15
67,12,40,9
55,94,83,63
43,88,44,36
84,54,64,56
34,20,16,42
18,36,30,6
21,33,9,46
28,69,51,42
54,71,23,44
90,82,45,13
20,54,52,55
36,95,11,27
69,57,74,47
84,54,5,40
44,20,29,70
27,31,57,35
33,8,79,62
95,36,93,52
21,28,42,81
78,72,61,88
11,4,66,64
80,58,16,6
31,79,52,93
78,42,52,45
44,26,73,82
97,90,45,41
58,14,24,72
16,81,33,82
68,39,81,91
49,78,39,25
65,5,18,16
48,14,22,45
23,34,96,79
76,57,44,53
47,20,61,17
99,8,17,14
47,38,34,92
73,52,64,73
65,46,74,36
25,96,61,20
88,8,47,55
36,72,49,76
67,4,49,54
6,50,44,35
77,68,7,8
12,50,24,1
56,21,9,98
