Portfolio_ID,Initial_Investment,Return_Rate,Risk_Level
46,83,10,44
64,23,95,20
16,50,66,30
74,30,23,97
37,25,82,67
65,83,85,42
86,9,11,79
3,5,24,15
83,70,76,24
28,62,85,58
91,31,66,84
62,39,63,95
27,96,4,77
9,54,7,66
66,12,79,71
21,73,96,26
32,17,18,16
30,24,15,70
82,22,37,84
23,28,78,45
37,28,96,90
97,58,65,49
29,54,24,22
99,53,33,15
56,22,38,2
83,15,79,4
78,5,59,74
85,39,14,66
84,47,34,46
6,69,63,80
98,28,88,41
85,31,84,52
62,89,12,99
69,92,76,97
37,77,61,9
95,30,47,4
22,33,51,16
53,93,70,61
8,44,24,5
87,91,64,37
64,97,29,87
50,71,51,27
28,4,25,67
22,99,56,64
8,88,36,76
55,14,73,56
21,88,67,74
12,26,44,92
83,44,47,25
12,10,12,56
69,64,28,67
92,62,28,70
33,11,92,59
3,28,24,28
43,93,39,47
4,3,55,32
3,27,99,73
23,77,40,10
68,24,52,51
66,71,57,45
7,63,90,71
77,4,81,33
54,76,88,38
3,23,83,6
23,69,88,49
81,85,63,24
28,58,69,97
10,91,17,15
64,72,93,23
77,69,72,44
43,11,47,70
4,3,86,93
19,50,64,83
49,37,31,33
82,99,94,56
85,87,89,74
3,91,20,98
43,84,94,90
67,89,81,71
18,32,45,49
73,50,12,61
99,35,34,29
3,16,17,45
31,89,13,20
