Respondent_ID,Preference_Score,Brand_Awareness,Purchase_Intent
4,95,6,68
91,10,78,78
35,46,49,45
93,54,80,99
13,99,1,91
78,81,2,74
34,97,23,68
61,89,19,11
95,18,12,44
25,86,10,15
73,74,92,91
28,35,69,76
59,50,30,44
97,67,88,84
35,41,31,67
17,8,23,78
86,3,1,23
44,53,5,56
91,81,26,28
86,90,17,53
16,80,38,95
33,72,46,71
95,44,58,63
37,11,61,93
8,35,59,85
38,23,82,92
75,12,23,50
54,97,44,97
90,60,21,41
71,16,34,62
10,19,41,3
43,7,23,25
91,65,73,42
31,38,67,96
94,33,19,55
54,93,55,52
58,72,13,91
43,53,63,91
56,31,4,3
7,60,7,90
6,23,98,83
75,74,8,51
90,5,97,69
83,40,69,23
23,62,1,46
60,13,72,22
18,28,68,55
83,84,49,88
55,69,91,57
43,38,88,17
71,63,89,60
58,18,81,33
77,57,94,39
24,8,51,76
15,52,28,1
26,12,81,4
9,70,45,30
73,14,7,77
79,16,52,20
96,92,30,88
86,43,97,82
21,18,29,86
55,94,38,84
81,24,65,55
91,25,10,76
33,33,79,57
65,16,85,79
69,85,86,94
8,29,83,77
27,21,80,90
5,56,46,33
65,4,64,52
54,76,71,63
30,98,13,25
31,40,16,41
42,50,42,14
39,76,61,35
50,33,92,68
57,39,28,83
8,34,70,19
32,95,42,99
71,78,13,35
95,99,76,26
33,16,11,27
