Product_Code,Dimension_A,Dimension_B,Dimension_C
61,19,49,41
89,41,11,73
4,55,58,83
11,65,51,8
68,31,6,15
75,98,74,69
19,97,67,63
89,60,98,60
76,70,89,21
73,99,37,43
40,72,43,6
84,41,44,91
54,6,95,10
79,41,22,38
45,74,88,39
80,5,30,25
95,76,23,92
91,90,22,11
53,95,4,40
10,54,21,49
48,15,67,41
91,70,79,83
13,89,66,38
4,85,28,90
85,77,22,11
82,50,67,38
15,49,83,45
61,77,72,20
83,58,92,3
77,9,71,52
18,69,80,45
10,66,81,24
86,4,44,85
82,69,76,67
41,53,88,89
36,53,92,6
15,40,69,84
73,3,73,16
28,44,74,85
85,56,68,94
36,71,63,89
69,30,26,26
75,98,88,94
8,34,28,50
46,58,38,82
75,87,15,24
38,85,99,76
29,47,84,51
94,17,50,93
91,43,36,28
11,70,33,24
80,20,3,54
31,98,81,95
84,42,12,74
56,85,57,77
48,3,27,53
44,44,89,53
83,3,78,97
33,57,11,20
95,1,92,15
33,96,96,91
9,22,96,14
11,1,9,87
9,49,26,62
55,22,52,63
89,34,66,10
30,2,81,68
2,13,7,85
7,25,24,69
43,46,97,68
43,91,99,86
28,58,8,11
51,55,96,63
95,28,17,53
32,47,33,2
24,58,25,93
4,8,35,47
49,72,4,78
96,72,37,43
51,60,1,86
7,62,98,1
62,22,60,76
5,11,39,37
90,19,74,13
