Product_ID,Usage_Frequency,Feature_Utilization,Satisfaction_Rating
23,46,70,5
74,63,41,88
98,44,44,25
2,90,95,63
13,28,88,22
50,1,47,34
51,27,33,79
2,34,23,81
17,74,53,64
33,25,5,50
14,58,74,80
97,76,92,55
31,27,26,7
90,52,96,43
90,96,58,79
58,63,56,82
16,38,2,63
46,7,5,28
46,42,67,45
30,19,81,30
82,94,89,10
64,93,40,65
59,53,20,45
37,43,83,44
8,37,78,35
24,73,33,78
6,76,63,33
57,6,2,27
58,3,5,41
36,91,42,76
81,34,41,8
14,61,72,93
44,97,18,53
16,55,54,88
5,29,45,77
7,3,73,68
77,93,19,51
59,67,92,20
75,51,78,45
3,17,37,96
92,79,33,23
32,90,86,84
22,15,98,45
29,39,7,54
37,29,60,95
59,44,97,34
67,68,80,50
15,63,47,66
77,50,97,7
96,7,79,43
63,80,1,4
19,59,93,84
59,79,55,20
52,96,19,18
60,43,22,40
57,89,67,90
17,36,57,73
22,59,55,77
71,69,60,95
89,34,1,45
55,60,94,45
60,43,8,56
23,63,55,53
88,19,99,95
67,75,71,67
37,38,36,22
86,12,70,13
73,97,28,46
46,61,5,53
70,22,84,45
84,86,21,88
49,5,62,1
7,66,84,84
1,55,47,46
17,15,83,82
8,42,90,47
43,97,39,50
39,9,15,96
63,20,1,29
14,98,14,68
91,98,55,31
57,68,50,78
54,75,72,64
71,88,23,90
