Post_ID,Likes,Comments,Shares
73,93,14,23
14,25,83,22
25,66,28,44
23,25,66,85
25,9,99,77
63,5,62,38
20,38,9,13
60,87,88,37
44,72,6,67
22,59,13,11
2,70,54,16
31,87,85,57
9,73,8,65
97,88,53,83
98,29,65,66
5,84,37,24
89,26,81,47
68,46,19,2
63,34,83,29
25,34,18,24
6,51,73,72
40,83,94,2
12,69,70,52
56,86,4,33
82,31,17,95
50,25,74,41
69,37,48,50
86,38,21,44
19,52,79,59
74,40,69,21
23,67,47,96
44,22,81,9
97,73,35,10
37,66,59,70
10,3,6,30
64,60,51,75
26,85,47,30
32,12,8,88
91,98,83,15
58,8,59,9
39,14,2,11
16,24,74,80
5,9,37,91
79,58,38,10
65,28,8,52
96,63,41,60
61,12,1,25
17,73,48,71
52,82,73,16
33,85,21,92
96,66,96,92
23,65,58,95
85,43,46,18
55,78,44,22
72,51,22,80
62,44,48,20
73,39,11,98
47,10,82,67
53,92,45,60
68,75,81,45
27,3,25,21
57,28,80,22
21,91,94,32
27,11,31,28
85,51,68,97
60,13,23,49
11,16,2,39
28,73,36,48
79,90,20,93
86,74,88,39
62,17,6,13
21,32,35,20
7,38,2,88
81,10,75,31
43,84,34,8
28,82,36,71
41,49,13,61
66,11,65,24
31,92,33,60
62,33,69,10
35,10,30,51
11,33,22,89
57,59,7,31
50,33,79,29
