Date,Temperature,Humidity,Precipitation
86,84,61,99
80,77,22,70
70,92,70,15
45,44,18,50
32,80,55,44
94,45,84,62
70,4,33,66
47,88,35,43
15,57,40,16
81,65,1,24
53,90,96,90
62,25,60,70
51,68,40,31
59,63,22,49
74,98,19,10
58,83,9,27
79,36,2,27
55,12,96,70
85,18,56,80
87,14,71,57
80,96,29,16
86,89,35,13
17,9,99,24
50,94,29,77
62,60,28,27
78,23,22,55
34,12,53,96
16,2,87,83
19,29,13,92
86,91,48,23
55,80,34,75
85,23,34,58
61,6,37,69
89,50,89,42
2,45,49,78
63,17,74,42
54,53,76,28
40,46,59,23
32,40,6,51
51,11,87,87
15,90,86,22
6,76,28,39
99,89,26,84
13,66,48,20
90,94,83,34
82,9,20,97
57,43,28,22
43,95,50,71
99,23,83,29
66,8,30,23
80,13,79,91
40,41,13,34
64,63,44,22
13,11,75,39
61,56,62,19
98,22,60,8
79,61,33,86
9,53,82,59
36,8,86,99
23,94,88,35
20,37,81,27
86,9,50,24
33,29,82,28
32,68,45,33
93,58,8,63
36,56,90,35
30,26,58,82
60,44,8,18
99,26,86,44
82,31,17,47
98,39,40,13
57,12,12,79
79,19,74,75
79,38,40,20
27,9,36,84
93,74,63,92
71,67,97,21
34,51,57,42
79,4,13,6
55,5,21,10
27,31,8,66
29,47,77,5
63,11,77,77
94,23,52,97
