Customer_ID,Purchase_Frequency,Total_Spending,Product_Rating
72,81,21,52
88,94,48,28
25,27,54,91
99,56,73,75
66,17,53,44
35,87,41,96
91,49,5,85
62,58,6,10
14,38,88,42
79,52,13,73
82,46,63,19
32,9,76,28
31,77,35,9
99,73,22,50
84,68,72,27
64,70,68,29
19,41,21,58
79,61,24,46
17,15,74,30
74,8,27,70
2,34,43,68
73,82,15,55
78,76,85,82
9,71,98,67
65,71,5,80
29,8,19,58
37,99,43,67
74,23,42,63
23,61,52,56
79,64,91,74
38,46,73,62
55,1,12,61
39,68,38,91
77,30,68,70
49,70,57,76
47,9,23,26
87,93,28,56
3,20,86,16
79,98,68,88
4,75,81,94
43,99,7,57
47,43,14,30
89,22,45,54
95,42,95,2
99,21,79,25
30,77,10,60
85,19,11,86
91,96,29,79
97,9,70,6
24,31,39,77
75,56,27,88
5,30,66,22
47,40,43,7
92,42,92,23
63,88,55,35
55,77,99,16
30,30,60,66
16,59,40,88
96,32,90,97
72,63,59,31
33,19,91,39
54,93,36,9
