Portfolio_ID,Initial_Investment,Return_Rate,Risk_Level
39,65,7,16
22,22,46,19
44,58,53,69
63,50,28,99
94,25,30,19
68,23,48,36
18,64,67,8
74,76,32,34
79,23,36,96
55,72,82,10
94,73,75,74
31,82,94,82
36,16,83,74
88,65,89,92
15,11,64,90
34,12,56,5
54,67,54,74
52,53,43,78
1,7,20,42
86,87,91,60
17,53,79,91
79,62,62,34
96,80,47,42
2,54,95,66
58,51,36,10
12,62,49,23
58,52,35,10
7,25,60,97
11,20,19,51
1,80,61,85
22,44,23,33
62,67,75,18
92,36,68,53
46,19,3,2
29,43,53,97
72,38,98,10
36,83,6,93
22,40,47,8
62,79,47,29
5,11,13,11
57,42,41,31
54,79,99,79
56,17,73,12
99,34,62,12
41,8,16,72
72,17,2,43
54,69,10,70
50,10,44,61
24,67,50,4
28,16,36,66
79,64,99,20
85,58,73,99
8,84,12,57
79,11,71,11
64,13,98,40
80,19,58,78
58,31,50,24
99,88,33,14
65,47,27,28
36,49,45,56
1,18,31,30
42,4,42,64
