Product_Code,Dimension_A,Dimension_B,Dimension_C
46,57,30,43
41,8,26,75
33,91,30,27
25,80,57,37
12,49,80,5
48,30,30,26
95,25,89,39
94,18,48,44
55,76,24,36
20,33,30,60
49,87,77,39
59,73,34,9
75,46,58,26
16,20,11,28
92,10,13,99
86,34,16,57
21,94,23,92
91,36,65,37
62,18,61,89
72,48,42,60
14,43,72,85
59,85,60,45
43,53,74,22
88,71,74,98
4,7,85,96
57,81,89,92
56,19,93,26
81,14,60,46
32,59,49,39
11,86,73,28
99,68,43,31
8,5,19,27
25,11,35,83
97,91,57,35
1,59,65,2
64,72,94,17
32,93,15,92
49,35,62,27
49,58,73,5
94,65,17,80
70,40,69,5
87,75,58,16
77,44,86,32
94,71,50,96
47,46,25,79
5,37,96,30
13,46,70,4
98,36,42,99
93,89,65,52
30,46,37,73
47,51,7,5
92,87,32,61
75,78,51,83
23,3,18,73
81,94,75,20
1,31,22,3
13,4,82,68
18,10,10,1
47,49,17,69
44,57,39,24
41,12,99,15
38,15,86,57
