Date,Temperature,Humidity,Precipitation
26,95,88,35
89,87,1,15
79,24,87,50
9,60,21,47
65,54,59,24
95,25,19,30
41,90,54,96
54,5,70,75
20,73,28,47
34,43,77,47
33,25,34,52
14,61,27,80
19,54,3,61
99,19,4,61
98,74,49,53
27,43,65,63
20,8,5,90
3,31,88,4
79,34,60,36
11,9,22,56
44,82,47,7
2,68,96,15
94,85,33,61
86,38,30,70
54,79,88,63
17,81,9,12
70,80,73,14
43,28,81,4
69,49,68,76
36,43,99,86
22,61,4,10
58,39,34,69
39,4,26,55
1,35,62,95
76,14,6,6
4,40,78,99
21,54,83,23
41,16,43,17
63,37,53,27
22,22,28,52
29,27,41,64
83,45,11,2
89,50,99,6
35,97,36,26
71,55,17,50
99,12,32,54
79,25,33,49
26,54,6,57
85,24,12,48
25,92,24,5
9,69,7,18
23,49,97,56
84,14,57,38
24,2,58,59
74,80,19,97
73,20,14,84
80,4,35,11
63,23,59,26
81,67,22,29
45,9,48,27
27,60,2,20
73,96,43,47
